অভিধান	ôbhidhan
যৌনতা	jounta
লেবিয়া মেজরা	lebiya mejora
লেবিয়া মাইনরা	lebiya mainora
রোনাল্ড	ronalḑ
অলৌকিক	ôloukik
বার্তাকু	bartaku
বার্তাকু	bartaku
পোখরাজ	pokharāj
শিক্ষা দেওয়া	shikkha deoa
আঁটো পাজামাবিশেষ	ām̐ṭō pājāmābiśēṣa
সন্ত্রাসবাদ	sôntrasôbad
পরিচায়ক	pôricaẏôk
পরিচায়ক	pôricaẏôk
স্যাটানিজম	syaţanijôm
সার্বিয়া	sarbiya
মূত্রনালি	mutrônali
মূত্রনালী	mutrônali
মন্টিনিগ্রো	mônţinigro
স্মৃতিসৌধ	smritisôudh
দ্য বিটল্‌স	dya biṭal‌s
বিটল্‌স	biṭal‌s
বক্ষাস্থি	bakṣāsthi
প্যারেড	pæreḑ
প্রাচীন গ্রিস	pracin gris
সুমেরু অঞ্চল	sumēru añcal
অগাস্ট	agāsṭ
বাইবেল	ba'ibel
কর্কট	kôrkôṭ
কর্কট	kôrkôṭ
আল্লাহ	Āllāha
গুগল	gūgal
আমি	ami
লাতিন ভাষা	latin bhasha
মঙ্গল	môngôl
বুধ	budh
চাঁদ	cãd
মাগোল	magol
ওব নদী	ob nadi
ওব	ob
সূর্য	surjô
টাইটানিক	ṭā'iṭānik
তুরস্ক	turôskô
কোলোন	kolon
নোকিয়া	nokiya
পেশিবহুল	peshibôhul
পেশীবহুল	peshibôhul
দূতাবাস	dutabas
হাজার	hajar
পৃথিবী	prithibi
আর্থ	arth
বঙ্গোপসাগর	Bôngopôshagôr
বঙ্গ	baṅga
বাংলা	bā.mlā
বঙ্গদেশ	baṅgadēś
কাউর	kaur
আমি	āmi ...
হেপাটাইটিস	hepeţa'iţis
অ্যারিওলা	êriola
হাইফেন	hā'iphēna
ফল	phôl
হ্যালোউইন	hyālōuina
বস্তু	bôstu
মুহাম্মাদ	muhammad
সুফিবাদ	sufibad
রমজান	rômôzan
আমির	amir
শরিয়া	shoriẏa
হোসেন	Hosen
নামাজ	nāmāj
সূরা	sura
আল্লাহু আকবার	allahu akbar
মূলা	Mūlā
ম্যাকডোনাল্ড’স	mækḑonalḑ's
প্রোস্টেট	prosţeţ
প্রোস্টেট গ্রন্থি	prosţeţ grônthi
বিষ্ণু	biṣṇu
উদ্দীপনা	uddipôna
উদ্দীপনা	uddipôna
রুশ ফেডারেশন	rushô pheḑareshôn
ইউরেশিয়া	iureshiẏa
সোপান	sopan
বোর্শ	bōrś
ব্যালে	byālē
শাড়ি	śāṛi
কিন্ডারগার্টেন	kinḑargarţen
সুইমিং পুল	su'imiṁ pul
দেবনাগরী লিপি	debnagri lipi
দেবনাগরী	debnagri
অ্যানথ্রাক্স	ênthraks
ভৌতিক	bhoutik
মাইক্রোফোন	ma'ikrophon
হার্ড ডিস্ক	hārḍ ḍisk
ফার্মেসি	pharmesi
দ্বিবীজপত্রী	dbibījpatrī
জয়চিহ্ন	jaẏacihna
ট্রফি	ṭraphi
বাংলা ভাষা	Bangla bhasha
পশ্চিমবাংলা	Pôshcimbangla
পশ্চিম বাংলা	Pôshcim Bangla
পূর্ববাংলা	Purbôbangla
পূর্ব বাংলা	Purbô Bangla
বঙ্গ	Bônggô
বাঙালি	Bangali
বাংলাদেশ	Bangladesh
বাংলাদেশী	Bangladeshi
বাংলাদেশি	Bangladeshi
টাকা	ṭaka
টাকা	ṭaka
বিডিএসএম	bi-ḑi-es-em
প্রজাতন্ত্রী তুরস্ক	prôjatôntri turôskô
পেরিক্লিস	???????s
বাক্‌লাভা	baklabha
মরিচ	morich
মূর্খ	murkhô
আগুন	āgun
পরোটা	paroţa
ব্রুনো	Bruno
ব্রুনো	bruno
ঈদ মুবারাক	id mubarak
ঈদ মোবারাক	id mobarak
ঈদ মুবারক	id mubarôk
ঈদ মোবারক	id mobarôk
দিলি	dili
ক্রেডিট কার্ড	kreḑiţ karţ
কারবালা	karôbala
ডার্ক চকলেট	ḑark côkôleţ
ভাষা	bhāṣā
যুক্তাক্ষর	juktakkhor
পাঠ্যপুস্তক	paţhyôpustôk
সামান্য	saman'yô
হিজড়া	hijŗa
চাবি	cabi
ছত্রাকবিজ্ঞান	chatrākbijñān
বেরোনো	berono
মাগরেব	magreb
বীচি	bici
সালাম	salam
গুই সাপ	gui shap
গুইসাপ	guishap
গোসাপ	goshap
গাজা	gājā
শয়তান	shôytan
মহারাজা	mahārājā
হালুয়া	halua
জুঁই	jumi
বেল	bela
মালতী	mālatī
নাগরিকতা	nagrikta
গাঁজা	gañja
গাঁজা	gañja
গজল	gôjôl
কে২	kē du'i
অন্ধবিন্দু	ôndhôbindu
টফি	ṭaphi
বাতিঘর	batighôr
ইনশাআল্লাহ্	insha'allah
নেকটাই	nekţai'i
সুলতান	sultan
ক্লিনিক	klinik
হয়	hay
মাদারবোর্ড	madarborḑ
সোমালিল্যান্ড	somalilænḑ
ছোটগল্প	choţôgôlpô
আবখাজিয়া	abkhajiẏa
কামরাঙ্গা	kamranga
খোঁজা	khõja
শিব	śiva
বাণিজ্যদূতাবাস	baṇijyadutabas
স্তালিন	stālin
ইত্যাদি	ittêdi
চুরি করা	curi kôra
পর্বতমালা	pôrbôtmala
জ্ঞান	jñān
দ্বার	dbara
সূর্য	sūryo
ধ্যান	dhyān
মস্তিষ্কহীন	môstishkôhin
মস্তিষ্কহীন	môstishkôhin
মুখোমুখি	mukhomukhi
পদ্ম	padma
পেঁপে	peṁpe
আমি জানি না	ami jani na
জানি না	jani na
কড়া	kaṛā
বইয়ের দোকান	bôiẏer dokan
দুঃখিত	duḥkhito
মাফ করবেন	māf korbēn
মাথা থেকে পা পর্যন্ত	matha theke pa pôrjôntô
দেয়ালের কান আছে	deẏalero kan ache
প্রেমহীন	premhin
ইয়াহু!	yāhu!
ইয়াহু	yāhu
কুসীদজীবী	Kusīdajībī
সালোয়ার	saloẏar
চুলচেরা বিচার	culcera bicar
দীপাবলি	dipabôli
অন্ধ্র প্রদেশ	Ôndhrô Prôdesh
অন্ধ্রপ্রদেশ	Ôndhrôprôdesh
আমি বুঝি না	ami bujhi na
বুঝি না	bujhi na
আপনি ইংরেজি বলতে পারেন?	apni ingreji bolte paren?
পাললিক শিলা	pālalika śilā
ক্যাট	kyaṭ
ভালবাসা	bhalôbasha
হায়দ্রাবাদ	Haẏdrabad
জেফারসন	jēphārsan
উত্তেজক	uttejôk
উলানবাটর	ulanbaţôr
ঢাকা	Ḑhaka
বিশকেক	bishkek
আভিধানিক	abhidhanik
দুই	dui
তিন	tin
চার	char
পাঁচ	pañch
ছএ	chhoe
সাত	shat
আট	att
নএ	noe
সুভা	subha
আস্তানা	astana
পোস্ট কোড	posţ koḑ
শহর	shôhôr
ভূগোল	bhugol
এরপর	erpôr
এর পর	er pôr
এরপরে	erpôre
এর পরে	er pôre
তারপর	tarpôr
তার পর	tar pôr
তারপরে	tarpôre
তার পরে	tar pôre
ঘন দুধ	ghana dudha
রুটি	ruṭi
ডালপুরি	ḑalpuri
নামহীন	namhin
অন্ধভাবে	ôndhôbhabe
অন্ধভাবে	ôndhôbhabe
পারিবারিক	paribarik
আমি জানতে চাই	ami jante cai
অন্ধভাবে	ôndhôbhabe
গঙ্গা	gônga
সুয়েজ খাল	suẏēj khāl
নাগোর্নো-কারাবাখ	nagorno-karabakh
হার্ভার্ড	hārbhārḍ
খাওয়া	khaoẇa
রক্তবমন	raktabaman
সাফারি পার্ক	saphari park
গুল	gul
সায়াম্	sāyām
ক্রিমিয়া	krimiẏā
লুঙ্গি	
আমি তোমাকে ঘৃণা করি	ami tomake ghrina kôri
আমি তোকে ঘৃণা করি	ami toke ghrina kôri
আমি তোমাদের ঘৃণা করি	ami tomader ghrina kôri
আমি তোদের ঘৃণা করি	ami toder ghrina kôri
আমি আপনাকে ঘৃণা করি	ami apnake ghrina kôri
আমি আপনাদের ঘৃণা করি	ami apnader ghrina kôri
মধ্য এশিয়া	môdhyô eshiẏa
দুনিয়া	duniya
নদী	nôdi
ইতিহাস	itihas
ধর্ম	dhôrmô
চাকা	cākā
তাজ মহল	taj môhôl
সিংহ	sinha
হৃদয়	hṛdoẏ
বিশাল	bishal
দোহা	doha
স্পার্টা	sparţa
অক্ষর	ôkshôr
মুখোমুখি	mukhomukhi
জাউ	ja'u
সতর্কীকরণ	sôtôrkikôrôn
ভোল্‌ফগাংক্‌	Bhōl‌phagāṅk‌
আমি তোমাকে ঘৃণা করি	ami tomake ghrina kôri
বিরিয়ানি	 biɾijɑːɳi
লাচ্ছি	lācchi
দেশের বাড়ি	desher baŗi
পুস্তক	pustôk
উমেদ	umēda
না	na
জি না	ji na
না	nā
স্বপ্ন	shôpnô
লক্ষ্মী	lakṣmī
নেপিদ	nepidô
ফাটাফাটি	faţafaţi
ঘোড়া	ghoŗa
লেনা	lena
লেনা নদী	lena nadi
রেসাস বানর	resas banôr
দৈনিক	doinik
সাপ্তাহিক	shaptahik
ঋতু	ritu
স্কাইলাইন	skailain
হায়দরাবাদ	Haẹdôrabad
বোড়ে	bore
ঘোড়া	ghora
গজ	gojo
নৌকা	nouka
মন্ত্রী	montri
রাজা	raja
চন্দা	canda
শরবত	shôrbôt
স্মার্টফোন	smarţphon
ভ্যান গখ	bhyan gôkh
ভিনসেন্ট ভ্যান গখ	bhinsenţ bhyan gôkh
আছে	ache
বারুদ	bārud
যান্ত্রিক ভাষা	yantrik bhasha
হেয়ার কন্ডিশনার	heẏar kônḑishnar
কিছু না কিছু	kichu na kichu
পোলাও	polao
জঙ্গল	jaṅgal
পূর্ব ইউরোপ	pūrba iurōp
ক্ষমাহীন	khômahin
সাখালিন	sākhālina
যৌনবিদ্যা	yaunbidyā
সব রাস্তা রোমের দিকে যায়।	Shob rasta Romer dike jay
জিরা	jirā
কেউটে	keuţe
হার্ড ডিস্ক	harḑ ḑisk
বন্যার পানি	bônnêr pani
প্রজাতন্ত্রী কোরিয়া	prajātantrī koriẏā
সালোয়ার	saloẏar
খবর	khôbôr
খানা	khana
তারা	tara
পূর্ণ	pūrṇa
তারকা	tarka
আঁখি	ãkhi
চোখের পাতা	cokher pata
কণীনিকা	kôninika
কনজাংটিভা	kônjangţiva
কর্নিয়া	kôrniẏa
পিউপিল	piupil
রেটিনা	reţina
স্‌ক্লেরা	sklera
এবং	ebông
জল	jôl
সেলেনা	selenā
তন্ত্র	tôntrô
খাওয়ানো	khaoẇano
আন্তর্জাল	āntarjāla
উইকিপিডিয়া	uikipiḍiyā
তক্তা	taktā
প্রদেশ	pradesh
রাজধানী	rajdhani
নিম	nim
লাস ভেগাস	Las Bhegas
বাঁশ	bãsh
রোজা	roja
ইনশাআল্লাহ্	insha'allah
দুনিয়ার মজদুর এক হও!	duniẏār majadur eka haō!
মন	mana
ভারত	bharôt
যৌনকর্মী	jounkôrmi
গণপ্রজাতন্ত্রী বাংলাদেশ	Gônôprôjatôntri Bangladesh
বাংলাদেশী	Bangladeshi
বাংলাদেশি	Bangladeshi
বঙ্গ	Bônggô
বাঙালি	Bangali
ঢাকা	Ḑhaka
-টি	-ţi
-রা	-ra
-এরা	-era
-গুলা	-gula
-গুলো	-gulo
পানি	pani
জলজ	jôlôj
দুশমন	duśman
সাবান	saban
কামোদ্দীপক অঙ্গপ্রত্যঙ্গ	kamoddipôk ôngôprôttôngô
পিতা	pita
দক্ষিণ এশিয়া	dôkhin eshiẏa
কুকুরছানা	kukurchana
ভাই	bhai
ভ্রাতা	bhrata
ভয়	bhôẏ
মাতা	mata
মা	ma
তারা	tara
হৃদয়	hṛdoẏ
নাম	nam
সূর্য	surjô
দাঁত	dānta
যুগ	yuga
জোয়াল	jōẏāla
পূর্ণ	pūrṇa
পাঁচ	pāṁc
ছয়	chay
সাত	shat
আট	aṭ
নয	nay
নএ	noe
দশ	dôsh
শত	śata
দুই	dui
তুমি	tumi
হয়	hay
দীর্ঘ	dīrgha
দেবর	dēbara
দশ	dôsh
বায়ু	baẏu
হাঁস	hãs
দাঁত	dānta
নাম	nam
ওষ্ঠ	ōṣṭha
নগর	nôgôr
ইচ্ছা হওয়া	iccha hôoẇa
দুগ্ধ	dugdha
দুধ	dudha
লেনিন	lenin
বৃষ্টি	brishţi
কামসূত্র	kamôsutrô
কারাওকে	kara'oke
কেব্লকার	kēblakāra
সাত	shat
সমরতি	sômôrôti
গে	ge
বায়ু	bayu
পাপ	pap
দুগ্ধ	dudh
চর্বি	côrbi
মিত্র	mitra
পাক	pāka
নটরাজ	naṭrāj
প্রাচীন রোম	pracin rom
ধোঁয়া	dhōm̐ẏā
নয	nay
সিন্ধু	shindhu
জাহান্নাম	jahannam
এক	ek
বিন্দু	bindu
ভক্তি	bhǒkti
অভিধান	ôbhidhan
গাঁজা	gañja
পশ্চিমবঙ্গ	Pôshcimbônggô
আদিগেয়া	adigeya
দক্ষিণ ওসেটিয়া	dôkhin oseţiẏa
ইয়েকাতেরিনবুর্গ	iẏēkātērinaburg
গুড়	guŗ
চাটা	caţa
চাটা	caţa
মরণ	môrôņ
শিয়াল	shiẏal
অনুস্বর	ônusshôr
মুখ	mukh
শুভ জন্মদিন	śubhô jônmôdin
আবলুস	āblus
ফেইসবুক	feisbuk
ফেসবুক	fesbuk
খাজা	Khājā
খোজা	khōjā
গাজা ভূখণ্ড	gaja bhukhônḑ
দুধ	dudh
মুম্বই	Mumbôi
হাত পা	hat pa
হাত-পা	hat-pa
সোচি	soci
আসসলামু আলাইকুম	as-salamu alaikum
শঙ্খচূড়	shôngkhocuŗ
বিড়াল	biŗal
ছদ্মনাম	chôddônam
ডাকনাম	ḑaknam
নামক	namôk
নামজাদা	namjada
নামহীন	namhin
কর্ণ	kôrnô
মৌখিক	moukhik
কেউটে সাপ	keuţe shap
গুই সাপ	gui shap
সাপুড়ে	shapuŗe
সামুদ্রিক সাপ	shamudrik shap
অজগর	ôjôgôr
গোখরা	gokhra
গোখরো	gokhro
ব্ল্যাক মাম্বা	blêk mamba
সর্পদংশন	shôrpôdôngshôn
শঙ্খচূড়	shôngkhôcuŗ
আফ্রিকান হাতি	aphrikan hati
এশীয় হাতি	eshiẹ hati
বৃক্ষ	brikkhô
উদ্ভিদ	udbhid
কমল	kômôl
পঙ্কজ	pôngkôj
কুমুদ	kumud
শতদল	shôtôdôl
সরসিজ	shôrôshijô
মৃণাল	mrinal
পদ্মিনী	pôddini
পদ্মনাভ	pôddônabh
পদ্মফুল	pôddôphul
পদ্মরাগ	pôddôrag
পদ্মলোচন	pôddôlocôn
ফল	phôl
ডিকশনারি	ḑikshônari
ডিকশনারী	ḑikshônari
আভিধানিক	abhidhanik
সামুদ্রিক	shamudrik
দেখানো	dekhano
তর্জমা	tôrjôma
অনুবাদ করা	ônubad kôra
অনুবাদক	ônubadôk
আপনি বাংলা বলতে পারেন?	āpni bānlā balatē pārēn?
মৈথুন	moithun
রক্ত	rôktô
সঙ্গীত	sônggit
লিঙ্গ	linggô
ধর্মীয়	dhôrmiẹ
ধার্মিক	dharmik
দলিত	dôlit
ভাষিক	bhashik
ভাষাসমূহ	bhashashômuh???
মাতৃভাষা	matribhasha
বাঘ	bagh
আমি ইংরেজি বলতে পারি না	ami inreji bolte pari na
আমার ক্ষুধা লাগছে	amar khuda lagchhe
আমাকে একা থাকতে দাও	amake eka thakte dao
শাক্তধর্ম	shaktôdhôrmô
গ্রেইট ব্রিটেনের যুক্তরাজ্য	grē'iṭ briṭēnēr yuktarājya
সংস্কৃত	Sôngskrit
ইমেইল	ime'il
ই-মেইল	i-me'il
ইমেইল	ime'il
ই-মেইল	i-me'il
অন্ধ্রপ্রদেশ	Ôndhrôprôdesh
...ইংরেজিয় আপনি কীভাবে বলবেন?	...ingrejiye apni kibhabe bolben?
...ইংরেজিয় তুমি কীভাবে বলবে?	...ingrejiye tumi kibhabe bolbe?
দোজখ	dōjakha
তরমুজ	tôrômuj
অকাল বীর্যপাত	ôkal birjopat
নিষ্ঠুরতা	nishţhurta
গম্বুজ	gambuja
ভুবনেশ্বর	bhubanēśbar
মরা	môra
মৃত	mritô
উত্তরাখণ্ড	uttarākhaṇḍ
হাওড়া	haoṛa
রংধনু	rông-dhônu
কাসাব্লাংকা	kāsāblāṅkā
আলতাই	alta'i
এলাহাবাদ	elahabad
যে কি?	yē ki
কনলী	Kanlī
প্রজাপতি	projapoti, prajapati
প্রজাপতি	projapoti, prajapati
আমি বাংলা বলতে পারি না	āmi bāṁlā boltē pāri nā
সার্কোজি	sārkōji
বেরলুসকোনি	bērluskōni
আমার অনুবাদক লাগবে	amar ônubadôk lagbe
আমি ইংরেজি	āmi inrējī
ঢাকা জেলা	Ḑhaka jela
ঢাকা বিভাগ	Ḑhaka bibhag
ইংরেজি ভাষা	Ingreji bhasha
আমার ডাক্তার লাগবে	amar ḑaktar lagbe
আমার সাহায্য লাগবে	amar shahajyô lagbe
আপনি কি বিবাহিত?	apni ki bibahitô?
আমার পানি লাগবে	amar pani lagbe
আমার ডিকশনারী লাগবে	amar ḍikshônari lagbe
আমার খাবার চাই	amar khabar cai
চেঙ্গিজ খান	cēṅgij-khān
বড়ো	bôŗo
ছোট	choţô
অনিবার্য	ônibarjô
লিঙ্গ	linggô
শিশ্ন	shishnô
পুরুষাঙ্গ	purushanggô
পেনিস	penis
নুনু	nunu
বাড়া	baŗa
ডান্ডা	ḑanḑa
খাড়া ধন	khaŗa dhôn
খাড়াধন	khaŗadhôn
আমি জানি	ami jani
আমি ধার্মিক নই	ami dharmik nôi
আমার পানীয় লাগবে	amar paniya lagbe
আমার পানীয় লাগবে	amar paniya lagbe
আমি ইংরেজি বলতে পারি না	āmi inrēji boltē pāri nā
আপনি কি ধার্মিক?	apni ki dharmik?
তুমি কি ধার্মিক?	tumi ki dharmik?
আপনারা কি ধার্মিক?	apnara ki dharmik?
তোমরা কি ধার্মিক?	tomra ki dharmik?
আমি গে	ami ge
বু পূর্ণিমা	Buddho Purnima
বুদ্ধ জয়ন্তী	Buddho Joyonti
হিন্দি ভাষা	hindi bhasha
ইসলামী	islami
সৌর	sourô
চন্দ্র	côndrô
চান্দ্র	candrô
উর্দু ভাষা	urdu bhasha
বন্ধ করা	bôndhô kôra
করানো	kôrano
জানানো	janano
আমি জানি	ami jani
আমি জানি না	ami jani na
আমি জানতে চাই	ami jante cai
এখানে ইংরেজি বলতে পারেন এমন কেউ আছেন?	ekhane ingreji bolte paren emôn keu achen?
অধার্মিক	ôdharmik
ধর্মীয়	dhôrmiẹ
ভালোবাসা	bhalobasha
ঘৃণা করা	ghrina kôra
প্রশ্ন করা	prôshnô kôra
সংগীত	sônggit
সাঙ্গীতিক	sanggitik
সাংগীতিক	sanggitik
সুরেলা	surela
সঙ্গীত	sônggit
চোরাবালি	corabali
ভালো	bhalo
চাওয়ানো	caoẇano
বই	bôi
গ্রন্থ	grônthô
পুটকি	puţki
চুম্বন করা	cumbôn kôra
-চুম্বী	cumbi
পারিবারিক	paribarik
গান	gan
নৃত্য	nrittô
নাচা	naca
অগ্নি	ôgni
আগ্নেয়	agneẏ
আগ্নেয়গিরি	agneẏôgiri
আগুন	agun
আগ্নেয়	agneẏ
আগ্নেয়গিরি	agneẏôgiri
আর্দ্রতা	ardrôta
শক্ত	shôktô
সহজ	sôhôj
নরম	nôrôm
আর্দ্র	ardrô
নরম	nôrôm
আর্দ্র	ardrô
আর্দ্র	ardrô
শক্ত	shôktô
কঠিন	kôṭhin
ফাল্গুন	Phalgun
চৈত্র	Coitrô
বৈশাখ	Boishakh
জ্যৈষ্ঠ	Joishţho
ভাদ্র	Bhadro
আশ্বিন	Asshin
কার্তিক	Kartik
অগ্রহায়ণ	Ôgrôhaẏôn
পৌষ	Poush
মাঘ	Magh
শীতল	shitôl
উদাহরণমূলক	udahôrônmulôk
হস্ত	hôstô
হাত পা	hat pa
হাত-পা	hat-pa
লিঙ্গ	linggô
পুরুষাঙ্গ	purushanggô
পেনিস	penis
ধন	dhôn
নুনু	nunu
বাড়া	baŗa
ডান্ডা	ḑanḑa
লিঙ্গ	linggô
শিশ্ন	shishnô
পেনিস	penis
ধন	dhôn
নুনু	nunu
বাড়া	baŗa
ডান্ডা	ḑanḑa
শিশ্ন	shishnô
পুরুষাঙ্গ	purushanggô
পেনিস	penis
ধন	dhôn
নুনু	nunu
বাড়া	baŗa
ডান্ডা	ḑanḑa
ভোদা	bhoda
বীচি	bici
যুবতী	jubôti
পুরোনো	purono
নারী	nari
লৈঙ্গিক	loinggik
যৌন প্রবৃত্তি	joun prôbritti
যৌনতা	jounta
আর	ar
কিংবা	kingba
বা	ba
লেখা	lekha
শেখানো	shekhano
শিখানো	shikhano
শিক্ষা	shikkha
শীত	shit
পুটকিচুদা	puţkicuda
পুটকিচোদা	puţkicoda
পাছা	pacha
পুটকিচোদা	putkicoda
পুটকিচুদা	putkicuda
চুদা	cuda
চোদাচুদি	codacudi
চোদা	coda
ছেলেমানুষ	chelemanush
ইহুদি ধর্ম	ihudi dhôrmô
রক্ত ঝরা	rôktô jhôra
রক্ত পড়া	rôktô pôŗa
রক্তকমল	rôktôkômôl
রক্তকাঞ্চন	rôktôkancôn
রক্তক্ষয়	rôktôkkhôẏ
রক্তগঙ্গা	rôktôgôngga
রক্তচক্ষু	rôktôcôkkhu
রক্তচাপ	rôktôcap
রক্তপাত	rôktôpat
রক্তপাতহীন	rôktôpat-hin
রক্তবর্ণ	rôktôbôrnô
রক্তহীন	rôktôhin
রক্তাক্ত	rôktaktô
মূত্র	mutrô
মাল	mal
বীর্যপাত	birjôpat
বীর্যস্খলন	birjôskhôlôn
শুক্রাণু	shukranu
ডিল্ডো	ḑilḑo
বাঘিনি	baghini
মরা	môra
মৃত্যু	mrityu
মৃত	mritô
মৃত্যু	mrityu
তর্জমা করা	tôrjôma kôra
অনুবাদ	ônubad
তর্জমা করা	tôrjôma kôra
অনুবাদ করা	ônubad kôra
তুমি	tumi
আচরণ করা	acôrôn kôra
আচরণবিধি	acôrônbidhi
প্রবণ	prôbôn
বড়	bôṛô
নেওয়া	neoẇa
গাঞ্জা	ganja
গঞ্জিকা	ganjika
সিদ্ধি	shiddhi
গাঁজাখোর	gãjakhor
গাঞ্জাখোর	ganjakhor
বন্ধু	bôndhu
মিত্র	mitrô
বান্ধবী	bandhôbi
বন্ধুত্ব	bôndhuttô
বন্ধুত্বপূর্ণ	bôndhuttôpurnô
বন্ধুভাবাপন্ন	bôndhubhabapônnô
বন্ধুসুলভ	bôndhushulôbh
বন্ধুহীন	bôndhuhin
বন্ধুত্বপূর্ণ	bôndhuttôpurnô
বন্ধুভাবাপন্ন	bôndhubhabapônnô
আল কোরআন	al kor-an
আল কুরআন	al kur-an
কুরান	kuran
কোরআন	kor-an
ভাইয়া	bhaiẏa
আলাপ করা	alap kôra
ভাল্লুক	bhalluk
স্লথ ভাল্লুক	slôthô bhalluk
স্লথ ভালুক	slôthô bhaluk
বাদামি ভাল্লুক	badami bhalluk
বাদামি ভালুক	badami bhaluk
এশিয়ান কালো ভাল্লুক	eshiyan kalo bhalluk
এশিয়ান কালো ভালুক	eshiyan kalo bhaluk
মেরু ভাল্লুক	meru bhalluk
মেরু ভালুক	meru bhaluk
ভালুক	bhaluk
স্লথ ভাল্লুক	slôthô bhalluk
স্লথ ভালুক	slôthô bhaluk
বাদামি ভাল্লুক	badami bhalluk
বাদামি ভালুক	badami bhaluk
এশিয়ান কালো ভাল্লুক	eshiyan kalo bhalluk
এশিয়ান কালো ভালুক	eshiyan kalo bhaluk
মেরু ভাল্লুক	meru bhalluk
মেরু ভালুক	meru bhaluk
স্লথ ভালুক	slôthô bhaluk
বাদামি ভালুক	badami bhaluk
এশিয়ান কালো ভালুক	eshiyan kalo bhaluk
মেরু ভালুক	meru bhaluk
স্লথ ভাল্লুক	slôthô bhalluk
বাদামি ভাল্লুক	badami bhalluk
এশিয়ান কালো ভাল্লুক	eshiyan kalo bhalluk
মেরু ভাল্লুক	meru bhalluk
তোমার নাম কি	tomar nam ki?
আপনার নাম কি	apnar nam ki?
দ্রুত	drutô
ধীর	dhirô
ডিকশনারি	ḑikshônari
অভিধান	ôbhidhan
আমি জানি	ami jani
আমি জানি না	ami jani na
আমি তোমাকে ভালবাসি	ami tomake bhalôbashi
ভালবাসা	bhalôbasha
তুমি কি ধার্মিক?	tumi ki dharmik?
আপনারা কি ধার্মিক?	apnara ki dharmik?
তোমরা কি ধার্মিক?	tomra ki dharmik?
আপনি কি ধার্মিক?	apni ki dharmik?
আপনারা কি ধার্মিক?	apnara ki dharmik?
তোমরা কি ধার্মিক?	tomra ki dharmik?
আপনি কি ধার্মিক?	apni ki dharmik?
তুমি কি ধার্মিক?	tumi ki dharmik?
তোমরা কি ধার্মিক?	tomra ki dharmik?
আপনি কি ধার্মিক?	apni ki dharmik?
তুমি কি ধার্মিক?	tumi ki dharmik?
আপনারা কি ধার্মিক?	apnara ki dharmik?
আপনার সাহায্য লাগবে?	apnar shahajjo lagbe?
তোমার সাহায্য লাগবে?	tomar shahajjo lagbe?
বুঝি না	bujhi na
আমি বুঝি না	ami bujhi na
আমি বুঝি না	ami bujhi na
পরে	pôre
নিচে	nice
জন্যে	jônne
জন্যে	jônne
জন্য	jônnô
উপরে	upôre
পর	pôr
আগে	age
এরপরে	erpôre
এর পরে	er pôre
তারপরে	tarpôre
তার পরে	tar pôre
সামনে	shamne
পিছনে	pichône
ভেতরে	bhetôre
ভিতরে	bhitôre
বাইরে	baire
প্রাণী	prani
পশু	pôshu
দেহ	dehô
লাগা	laga
ব্যক্তিগত	bêktigôtô
ব্যক্তিত্ব	bêktittô
দেশি	deshi
দেশী	deshi
দেশীয়	deshiẹ
দেশিয়	deshiẹ
দেশপ্রেমিক	deshpremik
দেশবন্ধু	deshbôndhu
দেশময়	deshmôẏ
দৈশিক	doishik
বাংলাদেশ	Bangladesh
পর্বতমালা	pôrbôtmala
বেগুনি	beguni
হারানো	harano
দেওয়া	deoẇa
অগাষ্ট	Ôgôsţ
প্রাসঙ্গিকতা	prasôņgikta
প্রাসঙ্গিকতা	prasôņgikta
পর্ন	pôrn, pôrnô
পর্নো	pôrno
পর্নোগ্রাফিক	pôrnographik
মনে রাখা	mône rakha
ভুলে যাওয়া	bhule jaoa
পর্নোগ্রাফি	pôrnographi
সেক্সী	seksi
সেক্সি	seksi
হাত মারা	hat mara
স্বকাম	sshôkam
স্বমেহন	sshômehôn
আত্মমৈথুন	atmômoithun
আত্ম মৈথুন	atmô moithun
হস্তমৈথুন করা	hôstômoithun kôra
প্রোস্টেট গ্রন্থি	prosţeţ grônthi
প্রোস্টেট	prosţeţ
হৃদয়	hridôy
হার্ট	harţ
ডিলডো	ḑilḑo
হস্তমৈথুন	hôstômoithun
মাল ফেলা	mal phela
তফাত	tôfat
পার্থক্য	parthôkkô
সব জায়গা	shôb jaẹga
পেশি	peshi
পেশীবহুল	peshibôhul
পেশিবহুল	peshibôhul
পেশী	peshi
পেশিবহুল	peshibôhul
পেশীবহুল	peshibôhul
পেশীবহুল	peshibôhul
পেশিবহুল	peshibôhul
বেড়াল	beŗal
বাদামী	badami
জানি না	jani na
জানি না	jani na
আমি জানতে চাই	ami jante cai
আমি জানি না	ami jani na
আমি জানি না	ami jani na
আমি জানতে চাই	ami jante cai
বীর্য	birjô
মাল ফেলা	mal phela
বীর্যস্খলন	birjôskhôlôn
বীর্যপাত	birjôpat
পাওয়ানো	paoẇano
বেরোনো	berono
ঢোকানো	ḑhokano
ঢুকানো	ḑhukano
পুরোনো	purono
নতুনত্ব	nôtunôttô
যুবক	jubôk
নতুন	nôtun
যুবক	jubôk
পুরোনো	purono
ঢুকানো	ḑhukano
ঢোকানো	ḑhokano
ক্ষমা করা	khôma kôra
ক্ষমা করবেন	khôma kôrben
ক্ষমাহীন	khômahin
যোনি	joni
